!CSV A.01.01
!Keysight Technologies,N5247A,US51370532,A.10.64.03
!Date: Wednesday, August 22, 2018 19:02:52
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),NF(DB),NF(DEG),S21(DB),S21(DEG),S11(DB),S11(DEG),T-Eff(DB),T-Eff(DEG)
1000000000,10.905562,0,-0.13865961,176.17091,0.15556812,-3.1226299,3282.3523,0
1100000000,10.587351,0,-0.21212873,175.43358,0.07579349,-3.9775522,3029.9619,0
1200000000,10.466696,0,-0.20965965,175.11957,0.089042179,-4.4153829,2938.9968,0
1300000000,10.489666,0,-0.15148915,174.99049,0.17342952,-4.4113464,2956.1204,0
1400000000,10.191156,0,-0.14520492,174.62498,0.19806455,-4.5694547,2740.4951,0
1500000000,10.626142,0,-0.15875351,174.1678,0.18389191,-5.0026989,3059.7478,0
1600000000,10.312626,0,-0.13049123,173.77919,0.21635734,-5.4113541,2826.4531,0
1700000000,10.810982,0,-0.12517795,173.31088,0.23628768,-5.8189673,3205.394,0
1800000000,10.441775,0,-0.17734118,172.73944,0.19368275,-6.3671136,2920.5208,0
1900000000,10.239491,0,-0.19470385,172.35196,0.17922658,-6.8155046,2774.4116,0
2000000000,10.759328,0,-0.1554099,172.09114,0.23038106,-7.0314751,3164.0676,0
2100000000,10.203948,0,-0.15360561,171.60426,0.23813275,-7.3860421,2749.4343,0
2200000000,10.10419,0,-0.2079221,170.99786,0.17819293,-8.035409,2680.4138,0
2300000000,10.535956,0,-0.21854328,170.60054,0.16249888,-8.559783,2990.9048,0
2400000000,10.320328,0,-0.18628046,170.34865,0.21157612,-8.7996674,2831.9849,0
2500000000,9.5723877,0,-0.18420561,169.94322,0.23700835,-9.0775661,2338.0688,0
2600000000,10.510297,0,-0.19580033,169.52795,0.2329881,-9.4672918,2971.5776,0
2700000000,10.082215,0,-0.16401733,169.18422,0.26905909,-9.8427153,2665.4221,0
2800000000,9.2432747,0,-0.14058775,168.73694,0.31274024,-10.212995,2146.27,0
2900000000,10.235186,0,-0.17905055,168.21561,0.28031707,-10.661875,2771.3755,0
3000000000,9.724123,0,-0.23485968,167.75296,0.21271951,-11.18368,2431.5125,0
3100000000,9.3643599,0,-0.24991079,167.3989,0.19492722,-11.614546,2215.1514,0
3200000000,10.070039,0,-0.24616046,167.0009,0.20782927,-11.973042,2657.1475,0
3300000000,8.6348333,0,-0.27865225,166.5267,0.19358136,-12.420046,1827.7825,0
3400000000,9.603919,0,-0.2928004,166.13487,0.18027833,-12.873917,2357.2195,0
3500000000,9.8575058,0,-0.27907422,165.79478,0.20028967,-13.258774,2516.3936,0
3600000000,8.4425755,0,-0.28854424,165.40553,0.21316616,-13.612518,1736.0752,0
3700000000,9.656002,0,-0.31474739,165.00595,0.1995935,-13.989398,2389.157,0
3800000000,9.9319782,0,-0.30740306,164.64906,0.20284167,-14.419187,2564.9321,0
3900000000,8.222476,0,-0.28714094,164.24864,0.24440433,-14.854477,1635.9525,0
4000000000,10.173527,0,-0.28544867,163.80179,0.26592755,-15.224043,2728.2185,0
4100000000,9.2433233,0,-0.31403244,163.38194,0.23815899,-15.642898,2146.2976,0
4200000000,10.641047,0,-0.31752247,163.04532,0.22650227,-15.990854,3071.2646,0
4300000000,9.4865313,0,-0.33132553,162.69073,0.21963896,-16.373249,2286.6245,0
4400000000,10.131269,0,-0.33866072,162.30377,0.22626702,-16.749777,2698.9929,0
4500000000,8.6803026,0,-0.34365031,161.8488,0.22753404,-17.248377,1850.0712,0
4600000000,11.681409,0,-0.3276619,161.50081,0.24292129,-17.612991,3981.0916,0
4700000000,7.309701,0,-0.32480749,161.0677,0.27228633,-18.061209,1270.8749,0
4800000000,10.481934,0,-0.33271298,160.69437,0.28164476,-18.351994,2950.3459,0
4900000000,9.9491282,0,-0.33552986,160.30771,0.27247876,-18.724094,2576.2285,0
5000000000,8.4392118,0,-0.34587058,159.89336,0.26334798,-19.202057,1734.5065,0
5100000000,10.638218,0,-0.35611901,159.43124,0.27194932,-19.647655,3069.0754,0
5200000000,9.8410616,0,-0.3670027,158.95393,0.27367535,-20.08316,2505.7874,0
5300000000,8.3231125,0,-0.38201052,158.59196,0.2551097,-20.472996,1681.1024,0
5400000000,10.670957,0,-0.3910805,158.3002,0.24720253,-20.773596,3094.4932,0
5500000000,8.9643888,0,-0.40642247,157.8683,0.25745162,-21.160603,1994.7405,0
5600000000,9.0126467,0,-0.42438075,157.45482,0.24432021,-21.546215,2020.2697,0
5700000000,10.396518,0,-0.43936378,157.13747,0.20782536,-21.939758,2887.2383,0
5800000000,8.7125387,0,-0.48184955,156.71832,0.20114337,-22.480833,1866.0153,0
5900000000,10.48062,0,-0.51596969,156.31783,0.21738836,-22.695669,2949.3665,0
6000000000,9.419795,0,-0.46093461,155.97745,0.22500816,-23.061838,2247.3333,0
6100000000,10.254027,0,-0.46783677,155.4099,0.22715068,-24.141964,2784.6855,0
6200000000,9.2668743,0,-0.510077,154.9944,0.20039804,-24.286758,2159.5452,0
6300000000,8.9497595,0,-0.51633477,154.70377,0.20160177,-24.412586,1987.0575,0
6400000000,10.749017,0,-0.52474141,154.42557,0.17476609,-24.717363,3155.8762,0
6500000000,7.2726803,0,-0.55623442,154.02226,0.16110638,-25.221848,1257.626,0
6600000000,10.449343,0,-0.55428386,153.65938,0.17464465,-25.557226,2926.1201,0
6700000000,8.551754,0,-0.55796301,153.23163,0.18492201,-25.967747,1787.655,0
6800000000,8.6604795,0,-0.57586104,152.85657,0.16551271,-26.376785,1840.3254,0
6900000000,10.079433,0,-0.58760774,152.54355,0.15586555,-26.743689,2663.5298,0
7000000000,8.2659464,0,-0.60112435,152.0239,0.17409976,-27.250727,1655.3271,0
7100000000,9.1515656,0,-0.60233849,151.62216,0.17553067,-27.579168,2095.363,0
7200000000,9.848958,0,-0.62518442,151.35558,0.13447599,-27.898193,2510.8755,0
7300000000,7.256052,0,-0.66144115,150.94373,0.12078947,-28.407904,1251.7118,0
7400000000,9.6716261,0,-0.64972693,150.5033,0.15200108,-28.785017,2398.813,0
7500000000,9.5961161,0,-0.64206982,150.13376,0.16164526,-29.172367,2352.467,0
7600000000,8.5025959,0,-0.66950256,149.73628,0.14392261,-29.618572,1764.2701,0
7700000000,9.6818104,0,-0.67919493,149.3289,0.14704229,-30.006069,2405.126,0
7800000000,9.0539589,0,-0.68605763,148.92197,0.15207669,-30.362875,2042.3508,0
7900000000,8.8883266,0,-0.70507836,148.57826,0.13895102,-30.737234,1955.074,0
8000000000,9.1992407,0,-0.72026348,148.30235,0.12077137,-31.044922,2121.6931,0
8100000000,7.4222784,0,-0.73172098,147.77795,0.13839258,-31.596182,1311.8649,0
8200000000,10.001424,0,-0.72197342,147.33484,0.15798584,-31.959316,2610.9512,0
8300000000,9.2846775,0,-0.7442171,147.06242,0.12146153,-32.227757,2169.6074,0
8400000000,7.6783605,0,-0.79099184,146.72733,0.085663214,-32.668285,1409.1592,0
8500000000,10.281683,0,-0.7839027,146.35385,0.10690455,-32.974712,2804.3276,0
8600000000,8.0158615,0,-0.79836065,145.97733,0.091696791,-33.329281,1546.4712,0
8700000000,7.3988776,0,-0.82142383,145.61909,0.077406213,-33.813042,1303.2566,0
8800000000,8.4089985,0,-0.83298606,145.18513,0.085883275,-34.23872,1720.4713,0
8900000000,8.5483913,0,-0.84657127,144.73521,0.093403943,-34.616417,1786.0466,0
9000000000,7.276113,0,-0.8623836,144.44754,0.073975369,-34.904903,1258.8497,0
9100000000,8.7823706,0,-0.88638145,144.2066,0.039994795,-35.164383,1900.9633,0
9200000000,7.7274313,0,-0.9099797,143.75107,0.040986888,-35.621639,1428.4667,0
9300000000,8.6755333,0,-0.89561141,143.30525,0.06124825,-36.028721,1847.7224,0
9400000000,6.8524685,0,-0.92274308,142.97009,0.036458477,-36.466625,1114.8981,0
9500000000,10.581593,0,-1.013658,142.65001,-0.12502298,-36.986996,3025.563,0
9600000000,8.6288586,0,-0.96812612,142.27124,0.01445954,-37.124996,1824.871,0
9700000000,9.6244001,0,-0.9765206,141.96797,0.0071329311,-37.407913,2369.7327,0
9800000000,8.350831,0,-1.007257,141.58542,-0.012563169,-37.882557,1693.7236,0
9900000000,9.6528511,0,-1.01536,141.19925,-0.0091287661,-38.288815,2387.2141,0
10000000000,8.4049034,0,-1.0276614,140.63423,0.0077803703,-38.86842,1718.576,0
10100000000,8.9457121,0,-1.0454996,140.19344,-0.021256084,-39.294441,1984.936,0
10200000000,10.398972,0,-1.0467992,140.07425,-0.018824097,-39.342228,2889.0339,0
10300000000,7.9082727,0,-1.0866452,139.70421,-0.041648909,-39.738419,1501.5348,0
10400000000,10.557254,0,-1.0874069,139.3204,-0.031171573,-40.066715,3007.0337,0
10500000000,9.7857304,0,-1.0841297,138.96786,-0.030185159,-40.516068,2470.3938,0
10600000000,8.2659101,0,-1.1348382,138.53851,-0.059013806,-40.995228,1655.3107,0
10700000000,11.481673,0,-1.1443667,138.15602,-0.063469045,-41.226334,3789.1091,0
10800000000,7.8296561,0,-1.1620319,137.79845,-0.074386403,-41.631947,1469.396,0
10900000000,9.4699917,0,-1.1865765,137.56508,-0.091401048,-41.899551,2276.8301,0
11000000000,11.876312,0,-1.198688,137.35115,-0.10394616,-42.039608,4177.1367,0
11100000000,6.8225465,0,-1.2363719,136.77638,-0.11776669,-42.672501,1105.2521,0
11200000000,10.127069,0,-1.243314,136.34314,-0.10415096,-43.051937,2696.104,0
11300000000,10.840932,0,-1.2493376,136.1689,-0.12569369,-43.162201,3229.5833,0
11400000000,6.3586364,0,-1.2989122,135.80194,-0.15695183,-43.645954,963.8963,0
11500000000,11.718527,0,-1.3002293,135.4147,-0.13760535,-43.990971,4017.752,0
11600000000,9.5885763,0,-1.2990311,135.28468,-0.14646007,-44.089455,2347.884,0
11700000000,8.9408731,0,-1.3164337,134.95482,-0.1101369,-44.677814,1982.403,0
11800000000,11.337885,0,-1.3568954,134.4043,-0.1643867,-44.972755,3656.2671,0
11900000000,7.4562192,0,-1.3927708,134.03088,-0.18836153,-45.405643,1324.4326,0
12000000000,10.087134,0,-1.4105718,133.74519,-0.18073855,-45.684269,2668.7717,0
12100000000,9.8323002,0,-1.4356899,133.84068,-0.25332743,-45.50198,2500.1528,0
