!CSV A.01.01
!Keysight Technologies,N5247A,US51370532,A.10.64.03
!Date: Wednesday, August 22, 2018 19:01:16
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),NF(DB),NF(DEG),S21(DB),S21(DEG),S11(DB),S11(DEG),T-Eff(DB),T-Eff(DEG)
1000000000,11.277329,0,0.91481423,176.62038,0.15483396,-2.8892863,3601.625,0
1100000000,10.842708,0,0.84330332,175.90503,0.076301165,-3.722486,3231.0225,0
1200000000,10.770034,0,0.84756541,175.62788,0.089713514,-4.1378188,3172.5923,0
1300000000,10.864785,0,0.90858322,175.53165,0.1728656,-4.109139,3248.9668,0
1400000000,10.522874,0,0.91539878,175.186,0.19902633,-4.2436733,2981.0364,0
1500000000,10.915994,0,0.90157008,174.7587,0.18462433,-4.6550064,3290.9426,0
1600000000,10.54316,0,0.93261677,174.41577,0.21646245,-5.0417795,2996.3516,0
1700000000,11.009922,0,0.93950087,173.97403,0.2365316,-5.4228511,3369.2341,0
1800000000,10.75526,0,0.88676673,173.42236,0.19444889,-5.9508228,3160.8328,0
1900000000,10.475412,0,0.87133557,173.07198,0.18053183,-6.3753524,2945.4841,0
2000000000,10.893716,0,0.91429234,172.84644,0.23091717,-6.5688343,3272.6206,0
2100000000,10.546224,0,0.91779351,172.38498,0.23963803,-6.8955741,2998.6709,0
2200000000,10.335875,0,0.86443198,171.80255,0.18002556,-7.5264869,2843.1807,0
2300000000,10.7388,0,0.85589671,171.44275,0.16492537,-8.0275545,3147.7795,0
2400000000,10.566262,0,0.89382988,171.21632,0.21368898,-8.2461081,3013.8794,0
2500000000,9.6461058,0,0.8957727,170.83072,0.23936813,-8.5032463,2383.0596,0
2600000000,10.664619,0,0.88410538,170.44572,0.23494279,-8.8653021,3089.5583,0
2700000000,10.188615,0,0.92017615,170.13953,0.27151203,-9.222476,2738.7224,0
2800000000,9.3397226,0,0.94987667,169.71715,0.31594622,-9.5714312,2200.9802,0
2900000000,10.366933,0,0.9085139,169.21062,0.28481328,-9.9878054,2865.668,0
3000000000,9.8696547,0,0.8553344,168.77594,0.21687892,-10.495371,2524.2554,0
3100000000,9.3882875,0,0.84665072,168.45166,0.19996934,-10.905383,2228.9919,0
3200000000,9.9903307,0,0.84910208,168.06778,0.21368827,-11.23786,2603.5505,0
